customer_id,Segment,Cluster,RFM_Score,recency,frequency,monetary
1.0,Loyal Customers,1,4,66,1,104.78
2.0,Lost Customers,1,4,587,1,156.11
3.0,Lost Customers,1,4,709,1,162.43
4.0,Loyal Customers,1,4,165,1,105.53
5.0,Lost Customers,1,4,662,1,89.66
6.0,Loyal Customers,1,4,90,1,123.57
7.0,Loyal Customers,1,4,303,1,108.04
8.0,Loyal Customers,1,4,351,1,185.06
9.0,Potential Loyalists,1,4,444,1,72.21
10.0,Lost Customers,1,4,573,1,50.73
11.0,Potential Loyalists,1,4,503,1,132.81
12.0,Loyal Customers,1,4,100,1,141.91
13.0,Loyal Customers,1,4,339,1,126.22
14.0,Loyal Customers,1,4,209,1,113.5
15.0,Loyal Customers,1,4,1,1,146.82
16.0,Potential Loyalists,1,4,377,1,190.91
17.0,Loyal Customers,1,4,212,1,85.84
18.0,Potential Loyalists,1,4,502,1,170.44
19.0,Loyal Customers,1,4,310,1,185.66
20.0,Lost Customers,1,4,715,1,118.57
21.0,Potential Loyalists,1,4,512,1,111.25
22.0,Potential Loyalists,1,4,524,1,118.86
23.0,Loyal Customers,1,4,267,1,302.62
24.0,Loyal Customers,1,4,190,1,129.67
25.0,Lost Customers,1,4,599,1,109.44
26.0,Lost Customers,1,4,634,1,140.46
27.0,Lost Customers,1,4,693,1,130.58
28.0,Loyal Customers,1,4,328,1,48.16
29.0,Lost Customers,1,4,558,1,101.36
30.0,Potential Loyalists,1,4,394,1,87.23
31.0,Loyal Customers,1,4,341,1,135.95
32.0,Potential Loyalists,1,4,498,1,149.86
33.0,Lost Customers,1,4,717,1,216.76
34.0,Loyal Customers,1,4,337,1,110.2
35.0,Loyal Customers,1,4,295,1,220.66
36.0,Loyal Customers,1,4,136,1,150.23
37.0,Loyal Customers,1,4,349,1,138.61
38.0,Lost Customers,1,4,590,1,103.34
39.0,Potential Loyalists,1,4,370,1,73.05
40.0,Loyal Customers,1,4,80,1,48.59
41.0,Loyal Customers,1,4,337,1,117.78
42.0,Loyal Customers,1,4,359,1,108.41
43.0,Lost Customers,1,4,599,1,134.5
44.0,Loyal Customers,1,4,252,1,109.5
45.0,Potential Loyalists,1,4,452,1,144.37
46.0,Potential Loyalists,1,4,422,1,109.31
47.0,Loyal Customers,1,4,23,1,163.77
48.0,Potential Loyalists,1,4,457,1,139.46
49.0,Loyal Customers,1,4,127,1,159.37
50.0,Loyal Customers,1,4,32,1,111.61
51.0,Loyal Customers,1,4,284,1,152.47
52.0,Lost Customers,1,4,594,1,86.33
