order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,total_amount,shipping_state,payment_method,acquisition_channel,order_status
OLIST-100001,CUST-BR-6011,2018-06-26,PRD-INFO-148,Computers & Tech Item,Computers & Tech,1,104.78,104.78,SP,credit_card,Marketplace Direct,Completed
OLIST-100002,CUST-BR-1732,2017-01-21,PRD-ESPO-443,Sports & Leisure Item,Sports & Leisure,1,156.11,156.11,SC,credit_card,Marketplace Direct,Completed
OLIST-100003,CUST-BR-4189,2016-09-21,PRD-BELE-487,Health & Beauty Item,Health & Beauty,1,162.43,162.43,SP,credit_card,Marketplace Direct,Completed
OLIST-100004,CUST-BR-3737,2018-03-19,PRD-BELE-468,Health & Beauty Item,Health & Beauty,1,105.53,105.53,DF,credit_card,Marketplace Direct,Completed
OLIST-100005,CUST-BR-6769,2016-11-07,PRD-CAMA-572,"Bed, Bath & Table Item","Bed, Bath & Table",1,89.66,89.66,SP,boleto,Marketplace Direct,Completed
OLIST-100006,CUST-BR-3633,2018-06-02,PRD-MOVE-758,Furniture & Decor Item,Furniture & Decor,1,123.57,123.57,SP,credit_card,Marketplace Direct,Completed
OLIST-100007,CUST-BR-7741,2017-11-01,PRD-BELE-529,Health & Beauty Item,Health & Beauty,1,108.04,108.04,RJ,credit_card,Marketplace Direct,Completed
OLIST-100008,CUST-BR-1986,2017-09-14,PRD-RELO-597,Watches & Gifts Item,Watches & Gifts,1,185.06,185.06,MG,credit_card,Marketplace Direct,Completed
OLIST-100009,CUST-BR-7714,2017-06-13,PRD-MOVE-875,Furniture & Decor Item,Furniture & Decor,1,72.21,72.21,SP,credit_card,Marketplace Direct,Completed
OLIST-100010,CUST-BR-5739,2017-02-04,PRD-BELE-641,Health & Beauty Item,Health & Beauty,1,50.73,50.73,SP,credit_card,Marketplace Direct,Completed
OLIST-100011,CUST-BR-5697,2017-04-15,PRD-ESPO-654,Sports & Leisure Item,Sports & Leisure,1,132.81,132.81,MG,credit_card,Marketplace Direct,Completed
OLIST-100012,CUST-BR-5439,2018-05-23,PRD-CAMA-564,"Bed, Bath & Table Item","Bed, Bath & Table",1,141.91,141.91,RJ,credit_card,Marketplace Direct,Completed
OLIST-100013,CUST-BR-1437,2017-09-26,PRD-INFO-660,Computers & Tech Item,Computers & Tech,1,126.22,126.22,SP,credit_card,Marketplace Direct,Completed
OLIST-100014,CUST-BR-3067,2018-02-03,PRD-RELO-216,Watches & Gifts Item,Watches & Gifts,1,113.5,113.5,SP,credit_card,Marketplace Direct,Completed
OLIST-100015,CUST-BR-5449,2018-08-30,PRD-RELO-236,Watches & Gifts Item,Watches & Gifts,1,146.82,146.82,SP,credit_card,Marketplace Direct,Completed
OLIST-100016,CUST-BR-4516,2017-08-19,PRD-RELO-231,Watches & Gifts Item,Watches & Gifts,1,190.91,190.91,MG,boleto,Marketplace Direct,Completed
OLIST-100017,CUST-BR-6469,2018-01-31,PRD-MOVE-400,Furniture & Decor Item,Furniture & Decor,1,85.84,85.84,SP,boleto,Marketplace Direct,Completed
OLIST-100018,CUST-BR-3685,2017-04-16,PRD-BELE-796,Health & Beauty Item,Health & Beauty,1,170.44,170.44,SP,voucher,Marketplace Direct,Completed
OLIST-100019,CUST-BR-8350,2017-10-25,PRD-INFO-205,Computers & Tech Item,Computers & Tech,1,185.66,185.66,GO,credit_card,Marketplace Direct,Completed
OLIST-100020,CUST-BR-2011,2016-09-15,PRD-RELO-198,Watches & Gifts Item,Watches & Gifts,1,118.57,118.57,SC,boleto,Marketplace Direct,Completed
OLIST-100021,CUST-BR-6801,2017-04-06,PRD-ESPO-905,Sports & Leisure Item,Sports & Leisure,1,111.25,111.25,SP,voucher,Marketplace Direct,Completed
OLIST-100022,CUST-BR-7709,2017-03-25,PRD-MOVE-797,Furniture & Decor Item,Furniture & Decor,1,118.86,118.86,SP,credit_card,Marketplace Direct,Completed
OLIST-100023,CUST-BR-2977,2017-12-07,PRD-RELO-580,Watches & Gifts Item,Watches & Gifts,1,302.62,302.62,SP,credit_card,Marketplace Direct,Completed
OLIST-100024,CUST-BR-2810,2018-02-22,PRD-INFO-357,Computers & Tech Item,Computers & Tech,1,129.67,129.67,PR,credit_card,Marketplace Direct,Completed
OLIST-100025,CUST-BR-1037,2017-01-09,PRD-BELE-263,Health & Beauty Item,Health & Beauty,1,109.44,109.44,SP,credit_card,Marketplace Direct,Completed
OLIST-100026,CUST-BR-6212,2016-12-05,PRD-INFO-913,Computers & Tech Item,Computers & Tech,1,140.46,140.46,RJ,voucher,Marketplace Direct,Completed
OLIST-100027,CUST-BR-2098,2016-10-07,PRD-ESPO-788,Sports & Leisure Item,Sports & Leisure,1,130.58,130.58,SP,credit_card,Marketplace Direct,Completed
OLIST-100028,CUST-BR-8404,2017-10-07,PRD-CAMA-845,"Bed, Bath & Table Item","Bed, Bath & Table",1,48.16,48.16,SP,credit_card,Marketplace Direct,Completed
OLIST-100029,CUST-BR-3298,2017-02-19,PRD-BELE-160,Health & Beauty Item,Health & Beauty,1,101.36,101.36,SP,credit_card,Marketplace Direct,Completed
OLIST-100030,CUST-BR-4762,2017-08-02,PRD-ESPO-403,Sports & Leisure Item,Sports & Leisure,1,87.23,87.23,RJ,boleto,Marketplace Direct,Completed
OLIST-100031,CUST-BR-6409,2017-09-24,PRD-BELE-608,Health & Beauty Item,Health & Beauty,1,135.95,135.95,SP,boleto,Marketplace Direct,Completed
OLIST-100032,CUST-BR-1573,2017-04-20,PRD-BELE-852,Health & Beauty Item,Health & Beauty,1,149.86,149.86,PR,boleto,Marketplace Direct,Completed
OLIST-100033,CUST-BR-1112,2016-09-13,PRD-RELO-152,Watches & Gifts Item,Watches & Gifts,1,216.76,216.76,SP,boleto,Marketplace Direct,Completed
OLIST-100034,CUST-BR-3842,2017-09-28,PRD-MOVE-638,Furniture & Decor Item,Furniture & Decor,1,110.2,110.2,RJ,boleto,Marketplace Direct,Completed
OLIST-100035,CUST-BR-1047,2017-11-09,PRD-RELO-633,Watches & Gifts Item,Watches & Gifts,1,220.66,220.66,BA,credit_card,Marketplace Direct,Completed
OLIST-100036,CUST-BR-7867,2018-04-17,PRD-INFO-345,Computers & Tech Item,Computers & Tech,1,150.23,150.23,PE,credit_card,Marketplace Direct,Completed
OLIST-100037,CUST-BR-4799,2017-09-16,PRD-ESPO-655,Sports & Leisure Item,Sports & Leisure,1,138.61,138.61,RJ,credit_card,Marketplace Direct,Completed
OLIST-100038,CUST-BR-4613,2017-01-18,PRD-ESPO-671,Sports & Leisure Item,Sports & Leisure,1,103.34,103.34,SP,voucher,Marketplace Direct,Completed
OLIST-100039,CUST-BR-7567,2017-08-26,PRD-MOVE-569,Furniture & Decor Item,Furniture & Decor,1,73.05,73.05,SP,credit_card,Marketplace Direct,Completed
OLIST-100040,CUST-BR-1688,2018-06-12,PRD-CAMA-319,"Bed, Bath & Table Item","Bed, Bath & Table",1,48.59,48.59,SP,credit_card,Marketplace Direct,Completed
OLIST-100041,CUST-BR-3361,2017-09-28,PRD-INFO-149,Computers & Tech Item,Computers & Tech,1,117.78,117.78,SP,boleto,Marketplace Direct,Completed
OLIST-100042,CUST-BR-7381,2017-09-06,PRD-MOVE-401,Furniture & Decor Item,Furniture & Decor,1,108.41,108.41,SP,credit_card,Marketplace Direct,Completed
OLIST-100043,CUST-BR-4675,2017-01-09,PRD-ESPO-194,Sports & Leisure Item,Sports & Leisure,1,134.5,134.5,PR,credit_card,Marketplace Direct,Completed
OLIST-100044,CUST-BR-2547,2017-12-22,PRD-CAMA-452,"Bed, Bath & Table Item","Bed, Bath & Table",1,109.5,109.5,SP,boleto,Marketplace Direct,Completed
OLIST-100045,CUST-BR-1836,2017-06-05,PRD-BELE-437,Health & Beauty Item,Health & Beauty,1,144.37,144.37,SP,credit_card,Marketplace Direct,Completed
OLIST-100046,CUST-BR-6918,2017-07-05,PRD-MOVE-290,Furniture & Decor Item,Furniture & Decor,1,109.31,109.31,MG,credit_card,Marketplace Direct,Completed
OLIST-100047,CUST-BR-6542,2018-08-08,PRD-RELO-743,Watches & Gifts Item,Watches & Gifts,1,163.77,163.77,RJ,credit_card,Marketplace Direct,Completed
OLIST-100048,CUST-BR-1952,2017-05-31,PRD-ESPO-987,Sports & Leisure Item,Sports & Leisure,1,139.46,139.46,MG,credit_card,Marketplace Direct,Completed
OLIST-100049,CUST-BR-1501,2018-04-26,PRD-ESPO-636,Sports & Leisure Item,Sports & Leisure,1,159.37,159.37,SP,voucher,Marketplace Direct,Completed
OLIST-100050,CUST-BR-8255,2018-07-30,PRD-CAMA-908,"Bed, Bath & Table Item","Bed, Bath & Table",1,111.61,111.61,PR,credit_card,Marketplace Direct,Completed
OLIST-100051,CUST-BR-4459,2017-11-20,PRD-BELE-946,Health & Beauty Item,Health & Beauty,1,152.47,152.47,PE,boleto,Marketplace Direct,Completed
