return_id,order_id,customer_id,product_id,return_date,return_reason,quantity_returned,refund_amount
1,4,6034,3.0,2022-05-14 17:01:44.205772,Wrong Item,2.0,616.98
2,5,11592,425.0,2022-03-28 22:45:13.831416,Defective,1.0,450.17
3,5,11592,859.0,2022-04-07 22:45:13.831416,Did not match description,1.0,1769.95
4,18,3999,713.0,2023-02-28 01:54:28.648338,Wrong Item,1.0,147.28
5,27,9072,218.0,2023-11-29 05:20:23.789992,Defective,1.0,188.34
6,45,14241,839.0,2023-12-18 22:36:05.447220,Changed Mind,1.0,161.68
7,45,14241,314.0,2023-12-20 22:36:05.447220,Defective,1.0,670.66
8,48,2943,125.0,2022-06-15 14:46:38.438449,Changed Mind,1.0,281.69
9,48,2943,684.0,2022-06-11 14:46:38.438449,Did not match description,4.0,1138.44
10,63,11113,398.0,2023-08-26 13:04:19.998948,Defective,1.0,1280.68
11,63,11113,539.0,2023-09-12 13:04:19.998948,Did not match description,1.0,405.01
12,76,4743,955.0,2023-07-10 22:39:36.920306,Did not match description,1.0,802.3
13,85,13791,150.0,2024-01-04 16:09:03.170109,Wrong Item,1.0,1236.32
14,85,13791,429.0,2023-12-26 16:09:03.170109,Did not match description,1.0,312.28
15,85,13791,977.0,2023-12-14 16:09:03.170109,Changed Mind,3.0,3730.23
16,99,15410,539.0,2022-06-26 15:19:40.898399,Did not match description,1.0,405.01
17,99,15410,235.0,2022-07-05 15:19:40.898399,Defective,3.0,80.97
18,103,14464,496.0,2022-11-06 22:13:25.630712,Wrong Item,1.0,340.65
19,109,261,502.0,2022-04-23 12:27:13.353295,Defective,4.0,2401.12
20,110,11462,184.0,2022-10-28 05:00:59.936424,Did not match description,1.0,1888.0
21,110,11462,834.0,2022-10-30 05:00:59.936424,Defective,1.0,329.06
22,110,11462,494.0,2022-10-28 05:00:59.936424,Did not match description,1.0,142.11
23,122,9574,608.0,2023-08-01 21:50:31.322823,Changed Mind,1.0,283.36
24,130,14775,178.0,2023-03-12 09:17:06.005113,Did not match description,3.0,1441.98
25,146,2006,593.0,2023-03-06 20:50:30.723866,Defective,1.0,910.47
26,162,11658,740.0,2021-08-02 14:38:25.819688,Changed Mind,2.0,370.54
27,164,15122,395.0,2023-09-02 16:36:33.170093,Wrong Item,2.0,3588.72
28,178,7302,93.0,2023-12-30 06:06:08.561071,Did not match description,1.0,1305.52
29,188,7602,579.0,2023-05-12 02:25:15.098360,Changed Mind,3.0,1264.68
30,196,19090,827.0,2024-01-10 23:42:36.658069,Changed Mind,1.0,1522.42
31,196,19090,271.0,2024-01-15 23:42:36.658069,Changed Mind,1.0,1836.04
32,205,12014,41.0,2023-11-10 10:34:28.885856,Defective,1.0,392.09
33,217,3533,823.0,2023-07-01 10:12:08.724846,Wrong Item,2.0,532.52
34,238,4320,254.0,2021-05-18 22:46:35.469935,Changed Mind,3.0,3200.61
35,243,5343,367.0,2023-12-21 20:25:10.147729,Defective,1.0,463.13
36,243,5343,394.0,2024-01-01 20:25:10.147729,Wrong Item,2.0,86.24
37,243,5343,755.0,2023-12-19 20:25:10.147729,Changed Mind,4.0,681.56
38,245,12233,439.0,2022-07-21 01:55:50.965708,Did not match description,1.0,640.58
39,258,15374,501.0,2023-08-11 22:31:27.899083,Defective,3.0,882.14
40,275,18115,22.0,2023-04-09 23:07:40.526493,Changed Mind,1.0,40.69
41,280,1182,497.0,2023-10-29 23:57:12.057645,Did not match description,3.0,273.41
42,280,1182,120.0,2023-10-16 23:57:12.057645,Defective,1.0,426.76
43,282,11552,71.0,2022-04-02 04:01:24.691614,Wrong Item,1.0,832.26
44,285,3585,399.0,2022-09-23 09:43:29.986590,Defective,1.0,793.3
45,301,607,917.0,2023-09-02 22:09:11.887855,Changed Mind,1.0,456.29
46,303,19636,349.0,2022-10-24 12:37:55.827994,Did not match description,1.0,20.27
47,308,12371,609.0,2023-10-04 04:28:47.966340,Defective,3.0,439.05
48,308,12371,516.0,2023-10-10 04:28:47.966340,Wrong Item,1.0,118.27
49,337,12353,79.0,2021-09-26 03:29:02.964275,Wrong Item,2.0,1275.17
50,373,3892,377.0,2023-10-14 21:05:55.687914,Changed Mind,1.0,155.78
51,393,6527,250.0,2022-08-26 20:05:39.308084,Changed Mind,1.0,65.02
52,414,14988,952.0,2023-09-13 02:53:02.079285,Did not match description,1.0,1653.48
53,414,14988,63.0,2023-08-25 02:53:02.079285,Defective,1.0,1664.26
54,416,5811,193.0,2023-10-24 22:28:34.656230,Did not match description,1.0,461.9
55,416,5811,435.0,2023-11-13 22:28:34.656230,Changed Mind,1.0,119.73
56,416,5811,382.0,2023-10-24 22:28:34.656230,Wrong Item,1.0,347.49
57,463,3087,677.0,2023-02-13 11:59:46.679661,Defective,1.0,166.35
58,463,3087,687.0,2023-02-17 11:59:46.679661,Did not match description,1.0,31.74
59,463,3087,948.0,2023-01-28 11:59:46.679661,Did not match description,1.0,349.55
60,465,16621,904.0,2022-10-31 18:35:08.408640,Changed Mind,1.0,31.77
61,473,15571,937.0,2023-04-30 07:58:03.255938,Did not match description,1.0,1020.86
62,492,12479,115.0,2023-03-15 13:19:08.439107,Defective,1.0,141.54
63,499,5601,594.0,2022-08-15 23:14:43.417866,Did not match description,1.0,399.73
64,548,1266,185.0,2022-10-31 19:24:49.951312,Did not match description,1.0,250.92
65,552,4487,239.0,2022-05-31 11:05:47.841108,Wrong Item,2.0,851.9
66,552,4487,668.0,2022-05-28 11:05:47.841108,Changed Mind,1.0,108.08
67,552,4487,204.0,2022-05-05 11:05:47.841108,Wrong Item,1.0,344.4
68,552,4487,616.0,2022-05-19 11:05:47.841108,Did not match description,1.0,281.23
69,552,4487,337.0,2022-05-26 11:05:47.841108,Wrong Item,1.0,583.82
70,556,260,743.0,2022-05-27 04:55:23.607130,Did not match description,1.0,254.41
71,556,260,613.0,2022-06-18 04:55:23.607130,Defective,1.0,322.15
72,559,964,847.0,2023-11-11 17:56:34.803589,Did not match description,2.0,874.8
73,565,10691,929.0,2023-08-25 15:26:26.871623,Changed Mind,2.0,156.18
74,565,10691,776.0,2023-09-20 15:26:26.871623,Defective,1.0,1450.33
75,586,11347,859.0,2022-11-23 09:42:03.483899,Defective,1.0,1769.95
76,602,15115,448.0,2022-05-18 12:08:02.243650,Defective,5.0,4843.7
77,602,15115,464.0,2022-05-12 12:08:02.243650,Changed Mind,1.0,440.65
78,602,15115,679.0,2022-05-04 12:08:02.243650,Did not match description,1.0,1109.05
79,623,14248,825.0,2021-08-14 18:48:27.327525,Defective,1.0,103.35
80,652,11154,863.0,2022-10-25 10:00:09.183813,Changed Mind,1.0,592.86
81,652,11154,986.0,2022-10-03 10:00:09.183813,Did not match description,1.0,107.31
82,654,13422,755.0,2023-03-26 10:15:37.818462,Did not match description,1.0,170.39
83,654,13422,863.0,2023-04-01 10:15:37.818462,Did not match description,1.0,592.86
84,661,14354,241.0,2022-07-05 19:46:22.081889,Did not match description,3.0,1438.2
85,662,12155,835.0,2023-10-08 10:52:37.957149,Changed Mind,2.0,2487.58
86,662,12155,660.0,2023-09-26 10:52:37.957149,Changed Mind,1.0,83.53
87,667,19410,675.0,2022-04-14 00:06:28.693474,Wrong Item,1.0,91.73
88,680,6754,282.0,2022-05-27 02:34:32.395518,Did not match description,1.0,677.85
89,680,6754,400.0,2022-06-24 02:34:32.395518,Changed Mind,1.0,1111.7
90,680,6754,989.0,2022-06-05 02:34:32.395518,Changed Mind,3.0,484.22
91,680,6754,253.0,2022-06-22 02:34:32.395518,Wrong Item,1.0,279.31
92,684,7132,967.0,2023-08-11 16:59:10.201380,Did not match description,1.0,425.81
93,684,7132,86.0,2023-08-15 16:59:10.201380,Did not match description,1.0,190.33
94,687,17576,751.0,2021-08-17 03:26:06.302729,Changed Mind,1.0,227.76
95,695,5470,181.0,2023-11-25 21:33:36.123036,Changed Mind,1.0,287.82
96,702,10260,180.0,2023-08-17 08:50:31.008014,Did not match description,3.0,3952.64
97,702,10260,379.0,2023-08-05 08:50:31.008014,Wrong Item,1.0,393.91
98,702,10260,79.0,2023-08-12 08:50:31.008014,Wrong Item,1.0,637.59
99,702,10260,138.0,2023-08-10 08:50:31.008014,Changed Mind,2.0,260.36
100,711,17454,422.0,2022-11-22 09:47:28.012626,Did not match description,2.0,5301.36
101,729,11426,83.0,2023-07-10 10:21:09.215985,Changed Mind,1.0,1143.63
102,729,11426,89.0,2023-07-17 10:21:09.215985,Defective,1.0,1887.49
