customer_id,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment_Code,RFM_Score,Segment,Cluster
1,111,2,4645.75,2,1,2,212,5,Lost Customers,4
2,332,6,6505.36,1,4,3,143,8,At Risk,0
3,131,5,1709.05,2,3,1,231,6,Lost Customers,4
4,25,6,12526.06,4,4,5,445,13,Champions,3
5,124,4,4086.1400000000003,2,2,2,222,6,Need Attention,4
6,134,7,8007.95,2,4,3,243,9,Need Attention,0
7,82,1,1396.12,3,1,1,311,5,Promising,2
8,519,3,2854.61,1,1,1,111,3,Lost Customers,4
9,258,5,4810.75,1,3,2,132,6,Lost Customers,4
10,9,2,326.6,5,1,1,511,7,New Customers,2
11,28,6,5354.1900000000005,4,4,2,442,10,Lost Customers,0
12,53,2,2118.71,3,1,1,311,5,Promising,2
13,75,2,2262.85,3,1,1,311,5,Promising,2
14,26,7,7910.09,4,4,3,443,11,Loyal Customers,3
15,63,5,7835.3,3,3,3,333,9,Loyal Customers,0
16,112,9,32640.38,2,5,5,255,12,Need Attention,0
17,380,2,4827.74,1,1,2,112,4,Lost Customers,4
18,17,8,18090.52,4,5,5,455,14,Champions,3
19,160,4,2356.7100000000005,2,2,1,221,5,Lost Customers,4
20,36,2,3239.76,4,1,1,411,6,New Customers,4
21,248,2,6451.13,1,1,3,113,5,Lost Customers,4
22,102,4,8573.15,2,2,4,224,8,Need Attention,0
23,2,7,12890.89,5,4,5,545,14,Champions,3
24,99,2,2140.25,2,1,1,211,4,Lost Customers,2
25,52,4,6707.650000000001,3,2,3,323,8,Potential Loyalists,4
26,137,7,6036.33,2,4,3,243,9,Need Attention,0
27,43,6,9037.990000000002,3,4,4,344,11,Loyal Customers,0
28,52,5,4294.25,3,3,2,332,8,Potential Loyalists,0
29,9,7,9437.8,5,4,4,544,13,Champions,3
30,15,4,4786.59,5,2,2,522,9,Potential Loyalists,1
31,16,6,8457.65,4,4,4,444,12,Champions,3
32,45,5,8798.64,3,3,4,334,10,Loyal Customers,0
33,92,1,5645.379999999999,2,1,3,213,6,Lost Customers,4
34,13,4,3844.3599999999997,5,2,2,522,9,Potential Loyalists,1
35,54,5,11792.88,3,3,4,334,10,Loyal Customers,0
36,48,5,16122.220000000001,3,3,5,335,11,Loyal Customers,0
37,447,2,860.9399999999999,1,1,1,111,3,Lost Customers,2
38,36,4,3511.5,4,2,2,422,8,Potential Loyalists,1
39,177,5,7345.5,2,3,3,233,8,Need Attention,0
40,123,5,8193.28,2,3,3,233,8,Need Attention,0
41,6,8,6374.650000000001,5,5,3,553,13,Loyal Customers,3
42,112,3,1694.8600000000001,2,1,1,211,4,Lost Customers,4
43,2,4,6603.14,5,2,3,523,10,Potential Loyalists,1
44,73,2,9593.519999999999,3,1,4,314,8,Potential Loyalists,4
45,175,1,6087.13,2,1,3,213,6,Lost Customers,4
46,6,7,7037.35,5,4,3,543,12,Loyal Customers,3
47,146,5,2769.94,2,3,1,231,6,Lost Customers,4
48,36,3,907.5,4,1,1,411,6,New Customers,2
49,74,8,18699.379999999997,3,5,5,355,13,Loyal Customers,0
50,8,5,2801.8100000000004,5,3,1,531,9,Promising,1
51,121,1,608.46,2,1,1,211,4,Lost Customers,2
52,118,2,316.96,2,1,1,211,4,Lost Customers,2
53,19,3,8916.19,4,1,4,414,9,Potential Loyalists,1
54,11,6,16433.95,5,4,5,545,14,Champions,3
55,7,5,13856.080000000002,5,3,5,535,13,Loyal Customers,3
56,4,2,2715.3799999999997,5,1,1,511,7,New Customers,1
57,74,3,1596.69,3,1,1,311,5,Promising,4
58,1,6,10502.270000000002,5,4,4,544,13,Champions,3
59,35,5,14789.59,4,3,5,435,12,Loyal Customers,0
60,58,1,68.42,3,1,1,311,5,Promising,2
61,60,8,10929.05,3,5,4,354,12,Loyal Customers,0
62,209,7,10497.86,1,4,4,144,9,At Risk,0
63,36,4,5056.67,4,2,2,422,8,Potential Loyalists,1
64,4,8,9828.630000000001,5,5,4,554,14,Champions,3
65,13,8,13485.37,5,5,5,555,15,Champions,3
66,10,6,9412.74,5,4,4,544,13,Champions,3
67,165,8,18289.2,2,5,5,255,12,Need Attention,0
68,450,5,6577.69,1,3,3,133,7,At Risk,4
