month,revenue
2021-01-31,60811.37
2021-02-28,140779.15
2021-03-31,368182.94
2021-04-30,577273.02
2021-05-31,558057.87
2021-06-30,772384.74
2021-07-31,894792.1900000001
2021-08-31,1086683.7
2021-09-30,1251941.74
2021-10-31,1400384.92
2021-11-30,1469880.22
2021-12-31,1744223.54
2022-01-31,1900729.77
2022-02-28,1872550.18
2022-03-31,2198366.07
2022-04-30,2381129.15
2022-05-31,2640422.63
2022-06-30,2919846.39
2022-07-31,3125460.53
2022-08-31,3611403.75
2022-09-30,3911340.11
2022-10-31,3792038.96
2022-11-30,4399913.76
2022-12-31,4404963.1
2023-01-31,5325337.6
2023-02-28,4861132.68
2023-03-31,6029215.95
2023-04-30,6243994.34
2023-05-31,7116123.18
2023-06-30,7684612.83
2023-07-31,8364867.37
2023-08-31,9395583.540000001
2023-09-30,10260746.08
2023-10-31,12262597.64
2023-11-30,14239990.02
2023-12-31,19287184.07
