OrderID,CustomerID,OrderDate,OrderStatus,payment_method,shipping_city,shipping_state,shipping_cost,discount_amount,TotalAmount
1,19905,2023-06-27 18:27:51.461226,Completed,Apple Pay,City93,FL,19.05,0.0,2699.59
5,11592,2022-03-22 22:45:13.831416,Returned,Debit Card,City98,IL,8.82,0.0,2228.94
6,12355,2022-11-07 03:09:58.433133,Cancelled,Debit Card,City91,NC,9.0,261.48,1054.91
14,16115,2023-04-27 18:07:23.458183,Completed,Debit Card,City5,FL,7.13,0.0,1777.0800000000002
22,1879,2023-07-14 03:21:43.253058,Completed,Apple Pay,City75,FL,24.9,0.0,169.81
23,9399,2023-11-01 05:54:13.911354,Completed,Debit Card,City26,GA,13.03,0.0,592.6999999999999
31,2206,2023-01-30 02:52:05.208677,Completed,Apple Pay,City83,OH,18.21,0.0,8876.73
34,18555,2023-10-19 04:57:21.459493,Completed,Credit Card,City3,OH,2.86,10.57,3664.19
35,11214,2023-08-12 02:25:04.693118,Completed,Apple Pay,City99,IL,18.14,0.0,6234.75
43,18,2023-09-19 13:19:54.981866,Completed,Credit Card,City71,PA,11.52,0.0,2544.62
47,16258,2023-05-31 09:01:19.107938,Completed,PayPal,City79,PA,19.85,0.0,4252.82
49,2402,2023-10-31 13:31:14.719757,Completed,Apple Pay,City30,NC,17.02,61.09,566.31
51,14091,2023-09-25 20:14:26.944373,Completed,Debit Card,City22,MI,11.04,0.0,13591.010000000002
54,13304,2021-07-25 23:57:48.381958,Cancelled,Credit Card,City39,NC,10.37,0.0,1846.41
55,17145,2023-01-20 23:09:58.628140,Completed,Credit Card,City12,CA,5.69,21.95,1731.7200000000005
58,7581,2022-09-26 22:05:20.514182,Completed,Apple Pay,City86,OH,11.33,0.0,4845.049999999999
61,12760,2023-05-29 23:32:15.352624,Completed,Debit Card,City63,PA,3.86,0.0,2934.6600000000003
68,18733,2023-12-17 06:47:43.461739,Completed,PayPal,City4,FL,0.51,0.0,2854.4200000000005
72,6173,2022-05-18 11:10:46.038615,Completed,Credit Card,City43,TX,7.26,34.12,1457.91
74,18948,2023-10-03 07:39:40.483255,Completed,PayPal,City68,FL,1.74,182.79,1646.84
77,3967,2022-12-11 23:14:02.211658,Completed,Debit Card,City89,NC,18.14,100.6,1728.74
78,11534,2023-10-06 17:55:35.485395,Cancelled,Debit Card,City99,MI,24.4,265.49,2554.51
85,13791,2023-12-11 16:09:03.170109,Returned,PayPal,City63,IL,11.31,354.13,6924.2
88,14263,2023-12-10 15:48:20.358823,Completed,Credit Card,City5,NY,13.44,0.0,2123.89
91,10143,2023-12-20 17:20:50.554207,Completed,Apple Pay,City57,TX,13.2,869.68,7822.519999999999
96,10834,2023-11-06 01:57:29.164130,Completed,Apple Pay,City79,PA,2.14,0.0,4358.530000000001
98,10314,2023-12-24 07:51:43.744588,Completed,Credit Card,City42,PA,20.85,0.0,8781.09
