campaign_id,date,impressions,clicks,conversions,spend,revenue_generated
1,2022-06-18,713286,8572,219,2345.98,13559.82
1,2022-06-19,558096,18272,1677,1957.66,82355.82
1,2022-06-20,586639,10125,696,2050.01,38366.73
1,2022-06-21,381556,4819,471,2627.43,35223.6
1,2022-06-22,313511,8123,780,2704.64,36998.84
1,2022-06-23,539255,19400,1857,2019.92,69116.29
1,2022-06-24,572538,9669,914,2047.19,45211.13
1,2022-06-25,589269,19892,1768,2383.26,106681.39
1,2022-06-26,553392,7209,604,1988.47,23603.71
1,2022-06-27,635805,21674,1071,2723.63,32611.04
1,2022-06-28,777748,15117,608,2269.85,22481.69
1,2022-06-29,550489,9968,875,2180.1,29700.53
2,2021-08-16,107632,2539,167,641.29,6838.43
2,2021-08-17,57086,2154,198,460.3,6328.88
2,2021-08-18,47221,838,71,461.36,3665.18
2,2021-08-19,170576,5748,572,634.79,46472.91
2,2021-08-20,49588,1368,94,445.28,4089.0
2,2021-08-21,110233,1751,54,529.41,3963.93
2,2021-08-22,126632,5073,125,484.43,4211.72
2,2021-08-23,148938,4704,313,553.92,19882.66
2,2021-08-24,108085,2947,275,627.86,12463.48
2,2021-08-25,105138,1290,93,515.76,6887.95
2,2021-08-26,83778,2550,182,477.01,7309.96
2,2021-08-27,139955,5187,280,579.55,14166.02
2,2021-08-28,79045,2003,150,436.8,8534.21
2,2021-08-29,142335,4134,366,600.3,21802.17
2,2021-08-30,75537,1174,104,440.02,4861.72
2,2021-08-31,168404,4245,237,517.71,10371.18
2,2021-09-01,166735,7588,266,492.82,16583.71
2,2021-09-02,133239,3217,304,627.35,20306.7
2,2021-09-03,51110,2049,48,526.95,2518.27
2,2021-09-04,126254,1608,40,533.81,1550.11
2,2021-09-05,93493,4425,339,434.21,20724.24
2,2021-09-06,71539,2716,252,639.39,15887.42
2,2021-09-07,46677,571,34,445.34,1016.14
2,2021-09-08,113964,5570,142,537.31,8921.12
3,2021-01-13,311001,14049,407,1071.79,34991.52
3,2021-01-14,353431,9241,311,1096.17,14845.18
3,2021-01-15,139229,5913,318,935.91,21523.99
3,2021-01-16,373639,8290,634,1096.8,26667.47
3,2021-01-17,311309,12287,1100,1034.56,84997.65
3,2021-01-18,242001,3320,304,1029.74,12305.56
3,2021-01-19,351274,7753,482,1172.77,26705.85
3,2021-01-20,235647,6553,259,1026.97,22252.8
3,2021-01-21,209220,7505,506,1021.37,16364.39
3,2021-01-22,288085,10439,397,1119.48,23536.24
3,2021-01-23,186785,2120,124,1082.48,9509.99
3,2021-01-24,248232,2982,267,1214.25,16854.02
