order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state,shipping_cost,discount_amount,total_amount
1,19905,2023-06-27 18:27:51.461226,Completed,Apple Pay,City93,FL,19.05,0.0,2699.59
2,5046,2023-12-20 01:14:16.836951,Completed,Apple Pay,City74,NY,14.67,0.0,2340.82
8,1616,2023-11-13 07:02:42.055960,Completed,Credit Card,City63,PA,21.85,0.0,212.75
9,7938,2023-08-22 13:28:39.699172,Completed,Credit Card,City22,FL,15.85,0.0,285.15000000000003
10,15689,2023-10-15 00:14:20.063768,Completed,Credit Card,City7,MI,4.49,0.0,247.1
18,3999,2023-02-09 01:54:28.648338,Returned,Credit Card,City27,OH,24.95,0.0,172.23
19,10616,2023-04-12 23:50:21.308520,Completed,PayPal,City1,CA,6.75,0.0,110.28
20,2351,2023-06-13 12:26:51.683027,Completed,Apple Pay,City32,CA,0.82,0.0,3898.06
25,15517,2023-11-19 10:22:53.126256,Completed,PayPal,City66,OH,19.16,0.0,2584.13
27,9072,2023-11-22 05:20:23.789992,Returned,Credit Card,City39,CA,24.34,0.0,212.68
29,8239,2023-02-10 18:05:02.213390,Completed,Apple Pay,City38,NY,11.14,0.0,3228.47
30,5711,2023-12-25 18:46:10.951635,Cancelled,Apple Pay,City50,NC,6.04,0.0,499.94000000000005
35,11214,2023-08-12 02:25:04.693118,Completed,Apple Pay,City99,IL,18.14,0.0,6234.75
36,8901,2021-03-23 10:23:26.848448,Completed,Debit Card,City4,NY,17.44,0.0,3400.36
37,2993,2023-07-03 06:24:52.037765,Completed,Credit Card,City98,NC,1.93,0.0,784.1099999999999
38,12320,2022-12-10 10:07:02.725130,Cancelled,Credit Card,City25,OH,1.37,313.29,1501.98
41,11723,2023-07-24 14:39:42.217605,Completed,Credit Card,City97,NC,15.42,0.0,1649.08
44,596,2022-12-10 11:23:25.702669,Completed,Credit Card,City16,FL,15.13,0.0,246.91
45,14241,2023-12-17 22:36:05.447220,Returned,Debit Card,City51,NC,20.47,28.53,852.81
46,489,2021-07-19 00:55:40.707657,Completed,Credit Card,City67,TX,8.19,0.0,241.35
47,16258,2023-05-31 09:01:19.107938,Completed,PayPal,City79,PA,19.85,0.0,4252.82
48,2943,2022-05-25 14:46:38.438449,Returned,Credit Card,City81,NC,3.0,25.7,1654.41
49,2402,2023-10-31 13:31:14.719757,Completed,Apple Pay,City30,NC,17.02,61.09,566.31
51,14091,2023-09-25 20:14:26.944373,Completed,Debit Card,City22,MI,11.04,0.0,13591.010000000002
53,18565,2023-03-16 17:01:38.446349,Completed,Credit Card,City99,NC,1.38,29.64,268.14
55,17145,2023-01-20 23:09:58.628140,Completed,Credit Card,City12,CA,5.69,21.95,1731.7200000000005
58,7581,2022-09-26 22:05:20.514182,Completed,Apple Pay,City86,OH,11.33,0.0,4845.049999999999
59,19725,2023-12-22 00:33:05.057785,Completed,Apple Pay,City75,OH,23.7,27.5,1773.99
60,6075,2023-04-07 15:47:49.745963,Completed,Apple Pay,City9,NC,21.51,0.0,375.89
65,15570,2023-04-19 08:14:30.094307,Completed,Credit Card,City65,NC,20.22,57.75,813.44
67,6816,2023-12-25 15:40:46.405005,Completed,Debit Card,City85,FL,9.77,53.16,310.99
69,10118,2022-05-08 11:03:23.361032,Completed,Apple Pay,City50,FL,20.87,154.19,911.2
72,6173,2022-05-18 11:10:46.038615,Completed,Credit Card,City43,TX,7.26,34.12,1457.91
73,16794,2023-03-08 06:28:01.338802,Completed,PayPal,City49,MI,9.35,0.0,1433.5499999999995
75,5954,2022-11-19 04:47:22.479591,Completed,Credit Card,City52,OH,22.34,37.84,1002.93
77,3967,2022-12-11 23:14:02.211658,Completed,Debit Card,City89,NC,18.14,100.6,1728.74
79,11440,2023-05-20 18:39:57.923886,Completed,PayPal,City61,PA,12.73,0.0,511.6
84,1637,2023-02-10 11:06:33.552033,Completed,Credit Card,City88,NC,2.62,0.0,72.10000000000001
86,15214,2023-11-04 11:35:54.967913,Completed,Debit Card,City31,NY,10.9,176.1,903.25
87,10132,2023-08-08 15:25:25.493390,Completed,PayPal,City61,FL,3.89,0.0,1164.8300000000002
94,11389,2022-07-10 05:16:36.662375,Completed,Credit Card,City32,FL,13.11,0.0,431.24
97,13327,2022-07-05 14:37:24.738765,Completed,PayPal,City5,IL,15.78,0.0,45.6
98,10314,2023-12-24 07:51:43.744588,Completed,Credit Card,City42,PA,20.85,0.0,8781.09
99,15410,2022-06-22 15:19:40.898399,Returned,Debit Card,City5,FL,19.24,0.0,505.22
