order_id,customer_id,order_date,order_status,shipping_state,total_amount
100000.0,1.0,2025-09-28,Completed,TX,65.0
100001.0,2.0,2025-11-27,Completed,TX,65.0
100002.0,3.0,2025-11-05,Completed,NY,12.5
100003.0,4.0,2025-10-04,Completed,CO,24.99
100004.0,5.0,2025-02-28,Completed,TX,26.5
100005.0,6.0,2025-02-24,Completed,TX,18.0
100006.0,7.0,2025-01-21,Completed,NY,6.5
100007.0,8.0,2025-09-22,Completed,MA,26.5
100008.0,9.0,2025-09-21,Completed,VA,96.0
100009.0,10.0,2025-02-23,Completed,NY,26.5
100010.0,11.0,2025-06-11,Completed,VA,53.0
100011.0,12.0,2025-09-09,Completed,NY,19.5
100012.0,13.0,2025-02-22,Completed,CO,65.0
100013.0,14.0,2025-01-15,Completed,CA,24.99
100014.0,15.0,2025-05-16,Completed,VA,65.0
100015.0,16.0,2025-10-16,Completed,MA,44.0
100016.0,17.0,2025-11-24,Completed,VA,12.5
100017.0,18.0,2025-04-09,Completed,TX,65.0
100018.0,19.0,2025-05-11,Completed,MA,24.99
100019.0,20.0,2025-07-26,Completed,MA,26.5
100020.0,21.0,2025-04-06,Completed,WA,36.0
100021.0,22.0,2025-11-23,Completed,CO,48.0
100022.0,23.0,2025-05-14,Completed,NC,36.0
100023.0,24.0,2025-12-14,Completed,CO,6.5
100024.0,25.0,2025-05-01,Completed,FL,18.0
100025.0,26.0,2025-05-17,Completed,VA,22.0
100026.0,27.0,2025-11-11,Completed,WA,99.99
100027.0,28.0,2025-11-14,Completed,MA,24.99
100028.0,29.0,2025-04-23,Completed,CA,22.0
100029.0,30.0,2025-05-10,Completed,CA,99.99
100030.0,31.0,2025-05-06,Completed,FL,12.5
100031.0,32.0,2025-09-04,Completed,CA,18.0
100032.0,33.0,2025-10-21,Completed,FL,65.0
100033.0,34.0,2025-08-28,Completed,TX,24.99
100034.0,35.0,2025-09-09,Completed,TX,18.0
100035.0,36.0,2025-12-18,Completed,MA,79.0
100036.0,37.0,2025-12-26,Completed,NY,24.99
100037.0,38.0,2025-10-25,Completed,CO,48.0
100038.0,39.0,2026-01-04,Completed,IL,37.5
100039.0,40.0,2025-06-09,Completed,TX,79.0
100040.0,41.0,2025-06-01,Completed,CA,199.98
100041.0,42.0,2025-04-14,Completed,CO,18.0
100042.0,43.0,2025-06-02,Completed,FL,12.5
100043.0,44.0,2025-07-27,Completed,IL,6.5
100044.0,45.0,2025-05-15,Completed,TX,48.0
100045.0,46.0,2026-01-10,Completed,TX,99.99
100046.0,47.0,2025-09-21,Completed,CA,12.5
100047.0,48.0,2025-11-13,Completed,CA,48.0
