order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,total_amount,acquisition_channel,shipping_state,order_status
GA4-100001,USR-1860,2025-09-28,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,TX,Completed
GA4-100002,USR-6334,2025-11-27,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,TX,Completed
GA4-100003,USR-2685,2025-11-05,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Display,NY,Completed
GA4-100004,USR-6311,2025-10-04,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Direct,CO,Completed
GA4-100005,USR-1474,2025-02-28,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Social,TX,Completed
GA4-100006,USR-2899,2025-02-24,GGOEGAAB010516,Android Collectible Figurine,Accessories,1,18.0,18.0,Organic Search,TX,Completed
GA4-100007,USR-1646,2025-01-21,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Display,NY,Completed
GA4-100008,USR-3041,2025-09-22,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Referral,MA,Completed
GA4-100009,USR-3556,2025-09-21,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,2,48.0,96.0,Organic Search,VA,Completed
GA4-100010,USR-4073,2025-02-23,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Organic Search,NY,Completed
GA4-100011,USR-6675,2025-06-11,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,2,26.5,53.0,Direct,VA,Completed
GA4-100012,USR-4798,2025-09-09,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,3,6.5,19.5,Paid Search,NY,Completed
GA4-100013,USR-1878,2025-02-22,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,CO,Completed
GA4-100014,USR-6276,2025-01-15,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Direct,CA,Completed
GA4-100015,USR-3027,2025-05-16,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Organic Search,VA,Completed
GA4-100016,USR-6794,2025-10-16,GGOEGBJR013999,Google Stainless Steel Water Bottle,Drinkware,2,22.0,44.0,Direct,MA,Completed
GA4-100017,USR-1200,2025-11-24,GGOEAAEB099214,Chrome Dino Socks,Apparel,1,12.5,12.5,Organic Search,VA,Completed
GA4-100018,USR-1804,2025-04-09,GGOEAKBB010299,Google Campus Laptop Backpack,Bags,1,65.0,65.0,Direct,TX,Completed
GA4-100019,USR-6581,2025-05-11,GGOEGFKQ014499,Google Cloud White Tee,Apparel,1,24.99,24.99,Organic Search,MA,Completed
GA4-100020,USR-5488,2025-07-26,GGOEGAXB098810,Google Thermal Travel Tumbler,Drinkware,1,26.5,26.5,Organic Search,MA,Completed
GA4-100021,USR-1563,2025-04-06,GGOEGAAB010516,Android Collectible Figurine,Accessories,2,18.0,36.0,Organic Search,WA,Completed
GA4-100022,USR-6279,2025-11-23,GGOEYHPB098810,YouTube Crewneck Sweatshirt,Apparel,1,48.0,48.0,Display,CO,Completed
GA4-100023,USR-4060,2025-05-14,GGOEGAAB010516,Android Collectible Figurine,Accessories,2,18.0,36.0,Direct,NC,Completed
GA4-100024,USR-3038,2025-12-14,GGOEFAAB010617,Google Rainbow Enamel Pin,Accessories,1,6.5,6.5,Organic Search,CO,Completed
