customer_id,Segment,Cluster,RFM_Score,recency,frequency,monetary
12346,Loyal Customers,1,4,71,7,119.13
12347,Potential Loyalists,1,4,95,4,97.5
12348,Potential Loyalists,1,4,159,5,15.530000000000001
12349,Potential Loyalists,1,4,95,4,28.8
12350,Potential Loyalists,1,4,39,5,31.2
12351,At Risk,1,4,310,2,88.3
12353,Champions,1,4,31,5,203.25
12354,Loyal Customers,1,4,19,6,42.239999999999995
12355,At Risk,1,4,307,4,181.1
12356,Potential Loyalists,1,4,183,7,66.4
12357,Loyal Customers,1,4,24,8,87.34
12358,Potential Loyalists,1,4,94,4,82.9
12359,Loyal Customers,1,4,71,7,67.76
12360,Loyal Customers,1,4,19,6,96.75
12361,Potential Loyalists,1,4,75,2,39.9
12362,Potential Loyalists,1,4,42,2,20.35
12363,At Risk,1,4,352,3,19.95
12364,Potential Loyalists,1,4,183,2,89.7
12365,Loyal Customers,1,4,56,8,76.08
12366,Potential Loyalists,1,4,50,4,34.19
12367,At Risk,1,4,267,3,45.04
12368,Loyal Customers,1,4,86,6,50.5
12369,Potential Loyalists,1,4,81,4,59.209999999999994
12370,Potential Loyalists,1,4,97,4,270.6
12371,Potential Loyalists,1,4,110,4,18.53
12372,Loyal Customers,1,4,72,7,58.04
12373,Potential Loyalists,1,4,140,1,29.7
12374,Potential Loyalists,1,4,213,1,1.65
12375,At Risk,1,4,308,3,21.080000000000002
12376,At Risk,1,4,282,3,5.58
12377,At Risk,1,4,241,5,79.64999999999999
12378,Potential Loyalists,1,4,69,4,87.04
12379,Potential Loyalists,1,4,97,3,31.15
12380,Potential Loyalists,1,4,57,2,61.5
12381,Loyal Customers,1,4,39,6,119.14
12382,Champions,1,4,46,11,232.48000000000002
12383,Potential Loyalists,1,4,183,5,154.7
12385,Potential Loyalists,1,4,58,4,98.3
12386,Loyal Customers,1,4,31,8,73.23
12387,Champions,1,4,46,5,230.65
12388,Potential Loyalists,1,4,12,3,93.0
12389,Champions,1,4,21,5,150.55
12390,At Risk,1,4,306,5,50.27
12391,Loyal Customers,1,4,88,9,144.15
12392,Loyal Customers,1,4,69,10,54.489999999999995
12393,Potential Loyalists,1,4,101,4,234.15
12394,Potential Loyalists,1,4,89,4,18.05
12395,Potential Loyalists,1,4,209,1,36.0
12396,Potential Loyalists,1,4,51,5,62.18
12397,Loyal Customers,1,4,38,6,68.25
12398,Potential Loyalists,1,4,42,5,15.33
12399,Loyal Customers,1,4,10,7,97.6
12400,Potential Loyalists,1,4,188,3,43.55
12401,Potential Loyalists,1,4,82,2,127.8
12402,Potential Loyalists,1,4,136,4,36.75
12403,At Risk,1,4,307,4,14.780000000000001
12404,Potential Loyalists,1,4,118,3,27.03
12405,Potential Loyalists,1,4,154,4,233.78
12406,Potential Loyalists,1,4,88,3,82.98
12407,Potential Loyalists,1,4,17,3,3.34
12408,At Risk,1,4,283,4,27.7
12409,At Risk,1,4,286,2,39.6
12410,Potential Loyalists,1,4,185,4,99.78999999999999
12411,At Risk,1,4,659,2,7.199999999999999
12412,Potential Loyalists,1,4,115,4,147.65
12413,At Risk,1,4,235,2,21.38
12414,Potential Loyalists,1,4,145,6,39.75
12415,Potential Loyalists,1,4,8,3,36.8
12416,Potential Loyalists,1,4,93,2,217.69
12417,Potential Loyalists,1,4,32,5,60.94
12418,Potential Loyalists,1,4,4,4,50.65
12419,At Risk,1,4,246,6,50.2
12420,Loyal Customers,1,4,10,9,65.72
12421,Potential Loyalists,1,4,179,7,275.55
12422,Loyal Customers,1,4,40,6,110.25
12423,Potential Loyalists,1,4,75,5,45.13
12424,Potential Loyalists,1,4,35,4,52.589999999999996
12425,Potential Loyalists,1,4,202,5,47.9
12426,Potential Loyalists,1,4,38,4,78.9
12427,Potential Loyalists,1,4,58,4,173.41
12429,Potential Loyalists,1,4,154,4,29.6
12430,Potential Loyalists,1,4,178,3,37.95
12431,Loyal Customers,1,4,42,6,86.0
12432,Potential Loyalists,1,4,60,5,99.28999999999999
12433,Loyal Customers,1,4,107,6,76.74000000000001
12434,At Risk,1,4,454,3,51.4
12435,At Risk,1,4,312,5,22.86
12436,Potential Loyalists,1,4,91,5,37.99
12437,Potential Loyalists,1,4,213,4,26.779999999999998
12438,Potential Loyalists,1,4,194,3,70.8
12439,At Risk,1,4,420,3,13.24
12440,Champions,1,4,2,5,266.25
12441,At Risk,1,4,499,3,23.45
12442,Potential Loyalists,1,4,85,3,80.25
12443,Potential Loyalists,1,4,113,5,196.83
12444,At Risk,1,4,426,3,44.45
12445,Loyal Customers,1,4,32,9,113.8
12446,Potential Loyalists,1,4,116,3,9.0
12447,Potential Loyalists,1,4,184,4,99.67999999999999
12449,Potential Loyalists,1,4,120,4,29.1
12450,Potential Loyalists,1,4,72,2,4.15
12451,Potential Loyalists,1,4,6,5,28.0
12452,Potential Loyalists,1,4,58,3,10.17
12453,At Risk,1,4,299,4,41.41
12454,Potential Loyalists,1,4,140,2,16.65
12455,Potential Loyalists,1,4,85,3,12.0
12456,Lost Customers,1,4,384,1,118.8
12457,Potential Loyalists,1,4,100,4,123.15
12458,Loyal Customers,1,4,81,8,76.2
12459,At Risk,1,4,292,3,47.89
12460,At Risk,1,4,467,2,27.9
12461,Lost Customers,1,4,544,1,1.1
12462,Champions,1,4,0,6,274.6
12463,Potential Loyalists,1,4,83,3,156.10000000000002
12464,At Risk,1,4,274,2,27.9
12466,Potential Loyalists,1,4,149,7,286.2
12467,Potential Loyalists,1,4,106,4,92.12
12468,Potential Loyalists,1,4,57,4,22.6
12469,Potential Loyalists,1,4,48,5,33.7
12470,Loyal Customers,1,4,85,7,70.98
12471,At Risk,1,4,231,2,54.0
12472,At Risk,1,4,503,3,79.2
12473,At Risk,1,4,414,2,35.6
12474,Potential Loyalists,1,4,25,4,21.89
12475,Potential Loyalists,1,4,120,1,2.55
12476,Potential Loyalists,1,4,30,5,24.45
12477,Potential Loyalists,1,4,142,4,72.45
12478,Potential Loyalists,1,4,190,6,188.8
12479,Loyal Customers,1,4,40,8,72.68
12480,At Risk,1,4,307,2,5.5
12481,Potential Loyalists,1,4,78,4,25.51
12482,Potential Loyalists,1,4,155,2,4.199999999999999
12483,At Risk,1,4,395,5,55.400000000000006
12484,Potential Loyalists,1,4,6,4,45.24
12485,Potential Loyalists,1,4,181,6,147.05
12486,Potential Loyalists,1,4,97,5,97.04
12487,Potential Loyalists,1,4,157,8,299.14
12488,Potential Loyalists,1,4,17,5,21.5
12489,Loyal Customers,1,4,73,6,260.01
12490,Potential Loyalists,1,4,47,4,37.989999999999995
12491,Loyal Customers,1,4,109,6,82.35
12492,At Risk,1,4,334,6,54.03
12493,At Risk,1,4,331,3,21.85
12494,Potential Loyalists,1,4,66,4,149.7
12495,At Risk,1,4,295,2,4.45
12496,Potential Loyalists,1,4,120,4,54.15
12497,At Risk,1,4,259,2,11.59
12498,Loyal Customers,1,4,5,6,79.5
12499,Lost Customers,1,4,561,1,51.0
12500,Potential Loyalists,1,4,71,3,82.55
12501,Potential Loyalists,1,4,148,4,29.900000000000002
12502,Potential Loyalists,1,4,157,4,95.63
12503,Potential Loyalists,1,4,118,6,95.93
12504,Potential Loyalists,1,4,50,3,73.95
12505,Champions,1,4,17,6,284.67
12506,Lost Customers,1,4,704,1,4.95
12507,Potential Loyalists,1,4,143,4,57.45
12508,Loyal Customers,1,4,51,6,41.18
12509,At Risk,1,4,267,2,5.5
12510,Potential Loyalists,1,4,153,3,11.55
12511,Potential Loyalists,1,4,8,2,8.100000000000001
12512,At Risk,1,4,433,2,49.5
12513,At Risk,1,4,429,4,286.65
12514,Potential Loyalists,1,4,118,5,144.6
12515,Loyal Customers,1,4,72,11,105.64999999999999
