order_id,product_id,quantity,item_revenue,item_cost,item_profit
536366.0,22086,1,2.95,,
536367.0,21212,1,0.55,,
536368.0,21212,1,0.55,,
536369.0,85099B,4,7.8,,
536370.0,22086,1,2.95,,
536371.0,22086,2,5.9,,
536372.0,85099B,2,3.9,,
536373.0,22423,2,25.5,,
536374.0,84879,6,10.14,,
536375.0,21212,2,1.1,,
536376.0,22383,2,3.3,,
536377.0,22423,2,25.5,,
536378.0,22720,2,9.9,,
536379.0,22720,4,19.8,,
536380.0,85099B,4,7.8,,
536381.0,22720,2,9.9,,
536382.0,47566,1,4.95,,
536383.0,85099B,1,1.95,,
536384.0,22086,2,5.9,,
536385.0,85099B,1,1.95,,
536386.0,21212,1,0.55,,
536387.0,47566,2,9.9,,
536388.0,47566,1,4.95,,
536389.0,22086,2,5.9,,
536390.0,22720,2,9.9,,
536391.0,22383,1,1.65,,
536392.0,POST,1,18.0,,
536393.0,POST,4,72.0,,
536394.0,21212,1,0.55,,
536395.0,22383,6,9.9,,
536396.0,22720,2,9.9,,
536397.0,22383,1,1.65,,
536398.0,22720,2,9.9,,
536399.0,21212,1,0.55,,
536400.0,22423,1,12.75,,
536401.0,22383,1,1.65,,
536402.0,22720,1,4.95,,
536403.0,85099B,2,3.9,,
536404.0,22423,1,12.75,,
100039.0,POST,1,0.0,,
536406.0,85123A,2,5.1,,
536407.0,85123A,1,2.55,,
536408.0,22086,1,2.95,,
536409.0,POST,12,216.0,,
536410.0,22086,4,11.8,,
536411.0,47566,1,4.95,,
536412.0,POST,6,108.0,,
536413.0,85123A,1,2.55,,
536414.0,POST,4,72.0,,
536415.0,22720,1,4.95,,
536416.0,47566,6,29.7,,
536417.0,22423,1,12.75,,
536418.0,22720,2,9.9,,
536419.0,22086,6,17.7,,
536420.0,22383,1,1.65,,
100055.0,47566,1,0.0,,
536422.0,POST,1,18.0,,
536423.0,21212,2,1.1,,
536424.0,85123A,6,15.3,,
536425.0,22720,2,9.9,,
536426.0,47566,1,4.95,,
536427.0,85099B,2,3.9,,
536428.0,21212,2,1.1,,
536429.0,22423,4,51.0,,
536430.0,84879,6,10.14,,
536431.0,22720,4,19.8,,
536432.0,22086,4,11.8,,
536433.0,84879,2,3.38,,
536434.0,22383,1,1.65,,
536435.0,85099B,6,11.7,,
536436.0,POST,6,108.0,,
536437.0,85099B,2,3.9,,
536438.0,85123A,4,10.2,,
536439.0,85099B,2,3.9,,
536440.0,84879,6,10.14,,
536441.0,85099B,2,3.9,,
536442.0,21212,4,2.2,,
536443.0,22720,2,9.9,,
536444.0,POST,4,72.0,,
536445.0,22720,4,19.8,,
536446.0,22720,12,59.4,,
536447.0,85099B,1,1.95,,
536448.0,22086,1,2.95,,
536449.0,POST,2,36.0,,
536450.0,22720,1,4.95,,
536451.0,22720,4,19.8,,
536452.0,22086,12,35.4,,
536453.0,22423,1,12.75,,
536454.0,POST,2,36.0,,
536455.0,85099B,1,1.95,,
536456.0,85099B,4,7.8,,
536457.0,47566,1,4.95,,
536458.0,47566,12,59.4,,
536459.0,22383,1,1.65,,
536460.0,47566,2,9.9,,
536461.0,85123A,2,5.1,,
536462.0,47566,1,4.95,,
536463.0,22086,1,2.95,,
536464.0,84879,1,1.69,,
536465.0,22423,12,153.0,,
536466.0,22383,24,39.6,,
536467.0,85123A,4,10.2,,
536468.0,22423,1,12.75,,
536469.0,84879,2,3.38,,
536470.0,22383,1,1.65,,
536471.0,POST,4,72.0,,
536472.0,POST,1,18.0,,
536473.0,POST,4,72.0,,
536474.0,21212,1,0.55,,
536475.0,84879,1,1.69,,
100110.0,85123A,1,0.0,,
536477.0,22720,4,19.8,,
536478.0,47566,1,4.95,,
536479.0,84879,1,1.69,,
536480.0,21212,2,1.1,,
536481.0,22720,2,9.9,,
536482.0,85123A,2,5.1,,
536483.0,21212,4,2.2,,
536484.0,22383,6,9.9,,
536485.0,85123A,1,2.55,,
100120.0,22423,1,0.0,,
536487.0,85123A,6,15.3,,
536488.0,22383,2,3.3,,
536489.0,47566,4,19.8,,
536490.0,22423,1,12.75,,
536491.0,47566,2,9.9,,
536492.0,POST,4,72.0,,
536493.0,85123A,1,2.55,,
536494.0,85099B,2,3.9,,
536495.0,85099B,2,3.9,,
536496.0,22720,6,29.7,,
536497.0,85123A,6,15.3,,
536498.0,21212,12,6.6,,
536499.0,47566,2,9.9,,
536500.0,85099B,12,23.4,,
536501.0,21212,2,1.1,,
536502.0,22086,2,5.9,,
536503.0,POST,1,18.0,,
536504.0,22720,1,4.95,,
536505.0,22720,4,19.8,,
536506.0,22720,1,4.95,,
536507.0,85099B,6,11.7,,
536508.0,22720,1,4.95,,
536509.0,21212,1,0.55,,
536510.0,85099B,1,1.95,,
536511.0,22383,2,3.3,,
536512.0,85123A,1,2.55,,
536513.0,22086,24,70.8,,
536514.0,22383,1,1.65,,
536515.0,POST,1,18.0,,
536516.0,21212,1,0.55,,
536517.0,21212,1,0.55,,
536518.0,21212,6,3.3,,
536519.0,85123A,2,5.1,,
536520.0,22383,4,6.6,,
536521.0,84879,2,3.38,,
536522.0,22423,2,25.5,,
536523.0,47566,1,4.95,,
536524.0,POST,4,72.0,,
536525.0,84879,1,1.69,,
536526.0,85123A,1,2.55,,
536527.0,85123A,12,30.6,,
536528.0,85099B,6,11.7,,
536529.0,85099B,2,3.9,,
536530.0,22383,4,6.6,,
536531.0,22423,1,12.75,,
536532.0,21212,6,3.3,,
536533.0,85123A,6,15.3,,
536534.0,22720,4,19.8,,
536535.0,85099B,1,1.95,,
536536.0,22086,2,5.9,,
536537.0,84879,4,6.76,,
536538.0,21212,1,0.55,,
536539.0,POST,1,18.0,,
536540.0,22383,1,1.65,,
536541.0,22383,1,1.65,,
536542.0,22423,1,12.75,,
536543.0,22383,1,1.65,,
536544.0,22720,4,19.8,,
536545.0,85123A,2,5.1,,
536546.0,22086,4,11.8,,
536547.0,21212,6,3.3,,
536548.0,84879,4,6.76,,
536549.0,22423,1,12.75,,
536550.0,84879,1,1.69,,
536551.0,21212,4,2.2,,
100186.0,22720,1,0.0,,
536553.0,85123A,6,15.3,,
536554.0,84879,1,1.69,,
536555.0,POST,6,108.0,,
536556.0,85099B,4,7.8,,
536557.0,21212,12,6.6,,
536558.0,85099B,6,11.7,,
536559.0,21212,6,3.3,,
536560.0,85123A,2,5.1,,
536561.0,85099B,6,11.7,,
536562.0,21212,2,1.1,,
536563.0,47566,12,59.4,,
536564.0,47566,1,4.95,,
536565.0,22086,1,2.95,,
536566.0,POST,12,216.0,,
536567.0,22383,4,6.6,,
536568.0,22383,1,1.65,,
536569.0,22720,12,59.4,,
536570.0,85123A,6,15.3,,
536571.0,84879,1,1.69,,
536572.0,85099B,6,11.7,,
536573.0,22086,2,5.9,,
536574.0,22423,2,25.5,,
536575.0,POST,1,18.0,,
536576.0,21212,1,0.55,,
536577.0,POST,6,108.0,,
536578.0,21212,6,3.3,,
536579.0,85123A,2,5.1,,
536580.0,85123A,6,15.3,,
536581.0,22383,2,3.3,,
536582.0,22423,4,51.0,,
536583.0,22720,6,29.7,,
536584.0,47566,1,4.95,,
536585.0,85123A,1,2.55,,
536586.0,21212,6,3.3,,
536587.0,21212,6,3.3,,
