order_id,customer_id,order_date,order_status,shipping_state,total_amount
536366.0,13707,2011-06-29,Completed,United Kingdom,2.95
536367.0,18110,2011-06-29,Completed,United Kingdom,0.55
536368.0,13254,2011-03-23,Completed,United Kingdom,0.55
536369.0,14295,2010-01-29,Completed,United Kingdom,7.8
536370.0,16153,2011-08-12,Completed,United Kingdom,2.95
536371.0,16094,2010-03-10,Completed,United Kingdom,5.9
536372.0,15747,2011-02-10,Completed,Spain,3.9
536373.0,16046,2010-11-28,Completed,EIRE,25.5
536374.0,18130,2011-10-08,Completed,United Kingdom,10.14
536375.0,18081,2010-09-03,Completed,United Kingdom,1.1
536376.0,16489,2010-07-03,Completed,United Kingdom,3.3
536377.0,13253,2011-04-22,Completed,United Kingdom,25.5
536378.0,13673,2011-05-11,Completed,Germany,9.9
536379.0,16402,2010-03-14,Completed,Spain,19.8
536380.0,14045,2010-06-26,Completed,United Kingdom,7.8
536381.0,13928,2011-04-23,Completed,United Kingdom,9.9
536382.0,16907,2011-05-20,Completed,United Kingdom,4.95
536383.0,15376,2010-07-06,Completed,United Kingdom,1.95
536384.0,15801,2011-06-15,Completed,EIRE,5.9
536385.0,17402,2011-10-24,Completed,United Kingdom,1.95
536386.0,17255,2011-08-02,Completed,United Kingdom,0.55
536387.0,14461,2010-04-09,Completed,EIRE,9.9
536388.0,13782,2010-02-26,Completed,Germany,4.95
536389.0,14244,2010-03-07,Completed,United Kingdom,5.9
536390.0,17105,2011-03-16,Completed,United Kingdom,9.9
536391.0,17147,2011-10-29,Completed,United Kingdom,1.65
536392.0,14899,2011-05-03,Completed,United Kingdom,18.0
536393.0,12443,2010-03-21,Completed,United Kingdom,72.0
536394.0,16294,2011-06-29,Completed,EIRE,0.55
536395.0,15278,2010-05-13,Completed,United Kingdom,9.9
536396.0,13739,2011-09-24,Completed,EIRE,9.9
536397.0,14940,2011-06-03,Completed,United Kingdom,1.65
536398.0,13017,2010-02-18,Completed,United Kingdom,9.9
536399.0,17506,2011-10-26,Completed,United Kingdom,0.55
536400.0,18225,2011-07-04,Completed,United Kingdom,12.75
536401.0,14134,2010-08-09,Completed,United Kingdom,1.65
536402.0,16944,2011-02-27,Completed,EIRE,4.95
536403.0,14683,2009-12-21,Completed,Netherlands,3.9
536404.0,14391,2011-05-24,Completed,United Kingdom,12.75
100039.0,15728,2010-01-17,Cancelled,Germany,0.0
536406.0,14774,2011-07-14,Completed,United Kingdom,5.1
536407.0,12347,2011-01-14,Completed,United Kingdom,2.55
536408.0,16017,2009-12-23,Completed,United Kingdom,2.95
536409.0,16953,2010-11-09,Completed,United Kingdom,216.0
536410.0,15916,2010-07-12,Completed,United Kingdom,11.8
536411.0,16535,2010-07-12,Completed,United Kingdom,4.95
536412.0,15275,2010-02-12,Completed,United Kingdom,108.0
536413.0,16226,2009-12-18,Completed,United Kingdom,2.55
536414.0,14293,2011-02-05,Completed,United Kingdom,72.0
536415.0,14044,2011-04-19,Completed,Germany,4.95
536416.0,16685,2011-08-20,Completed,United Kingdom,29.7
536417.0,12990,2010-01-21,Completed,United Kingdom,12.75
536418.0,14723,2010-04-13,Completed,United Kingdom,9.9
536419.0,16991,2010-09-29,Completed,United Kingdom,17.7
536420.0,13299,2010-02-09,Completed,United Kingdom,1.65
100055.0,17958,2011-07-28,Cancelled,United Kingdom,0.0
536422.0,14485,2011-10-23,Completed,Spain,18.0
536423.0,14126,2011-11-02,Completed,United Kingdom,1.1
536424.0,13997,2010-11-15,Completed,United Kingdom,15.3
536425.0,16380,2010-02-27,Completed,United Kingdom,9.9
536426.0,14820,2011-01-19,Completed,Netherlands,4.95
536427.0,17631,2011-07-23,Completed,United Kingdom,3.9
536428.0,15704,2010-09-24,Completed,Germany,1.1
536429.0,15157,2010-02-09,Completed,United Kingdom,51.0
536430.0,12357,2010-11-08,Completed,United Kingdom,10.14
536431.0,15190,2010-02-09,Completed,United Kingdom,19.8
536432.0,13082,2010-10-14,Completed,Belgium,11.8
536433.0,15354,2010-03-06,Completed,United Kingdom,3.38
536434.0,14994,2011-04-20,Completed,United Kingdom,1.65
536435.0,17385,2011-04-18,Completed,United Kingdom,11.7
536436.0,12443,2011-08-09,Completed,United Kingdom,108.0
536437.0,15158,2011-03-20,Completed,France,3.9
536438.0,17180,2010-08-17,Completed,United Kingdom,10.2
536439.0,12607,2010-09-09,Completed,France,3.9
536440.0,15876,2010-01-24,Completed,United Kingdom,10.14
536441.0,14687,2011-10-17,Completed,France,3.9
536442.0,14265,2011-11-28,Completed,United Kingdom,2.2
536443.0,15542,2010-10-25,Completed,United Kingdom,9.9
536444.0,17928,2010-10-08,Completed,United Kingdom,72.0
536445.0,18153,2010-01-23,Completed,United Kingdom,19.8
536446.0,14732,2010-08-22,Completed,United Kingdom,59.4
536447.0,13603,2011-02-12,Completed,United Kingdom,1.95
536448.0,18015,2010-01-28,Completed,United Kingdom,2.95
536449.0,16295,2011-01-31,Completed,United Kingdom,36.0
536450.0,17481,2010-04-26,Completed,United Kingdom,4.95
536451.0,15330,2011-06-26,Completed,United Kingdom,19.8
536452.0,13436,2010-03-30,Completed,United Kingdom,35.4
536453.0,15923,2009-12-30,Completed,France,12.75
536454.0,15632,2010-10-19,Completed,Portugal,36.0
536455.0,14389,2010-10-18,Completed,United Kingdom,1.95
536456.0,12908,2010-10-12,Completed,France,7.8
536457.0,12359,2011-09-20,Completed,United Kingdom,4.95
536458.0,16525,2010-09-02,Completed,Germany,59.4
536459.0,15149,2011-04-29,Completed,United Kingdom,1.65
536460.0,17327,2010-07-22,Completed,EIRE,9.9
536461.0,14644,2010-10-29,Completed,United Kingdom,5.1
536462.0,12573,2010-12-24,Completed,United Kingdom,4.95
536463.0,17989,2010-09-29,Completed,United Kingdom,2.95
536464.0,13381,2011-04-09,Completed,United Kingdom,1.69
