product_id,product_name,category,subcategory,brand,selling_price,unit_cost,stock_quantity
22086,PAPER CHAIN KIT 50'S CHRISTMAS,Seasonal,Seasonal,Standard Brand,2.95,,100
21212,PACK OF 72 RETROSPOT CAKE CASES,Kitchenware,Kitchenware,Standard Brand,0.55,,100
85099B,JUMBO BAG RED RETROSPOT,Storage & Bags,Storage & Bags,Standard Brand,1.9500000000000002,,100
22423,REGENCY CAKESTAND 3 TIER,Kitchenware,Kitchenware,Standard Brand,12.75,,100
84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,Home Decor,Standard Brand,1.6899999999999997,,100
22383,LUNCH BAG SUKI DESIGN,Storage & Bags,Storage & Bags,Standard Brand,1.65,,100
22720,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchenware,Kitchenware,Standard Brand,4.95,,100
47566,PARTY BUNTING,Party Supplies,Party Supplies,Standard Brand,4.95,,100
POST,POSTAGE,Postage & Packaging,Postage & Packaging,Standard Brand,18.0,,100
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,Home Decor,Standard Brand,2.55,,100
