session_id,customer_id,session_date,channel,device,pages_viewed,session_duration,converted
1,,2023-06-27 03:23:25,Referral,Desktop,5,61,0
2,,2021-09-10 09:40:55,Referral,Desktop,4,126,0
3,,2021-02-23 18:44:39,Social Media,Mobile,4,10,0
4,,2023-04-22 22:49:08,Organic Search,Desktop,7,106,0
5,,2022-04-11 17:33:08,Direct,Tablet,5,65,0
6,,2021-08-01 08:45:34,Social Media,Mobile,4,13,0
7,4447,2023-03-23 18:06:55,Direct,Desktop,2,43,0
8,,2022-12-19 23:31:25,Referral,Desktop,5,264,0
9,3067,2022-09-26 03:19:31,Social Media,Desktop,3,272,0
10,,2023-09-10 21:16:37,Social Media,Mobile,3,107,0
11,,2021-06-18 03:06:52,Email,Mobile,4,1,0
12,,2021-11-25 20:06:38,Direct,Desktop,3,228,0
13,,2023-09-09 13:42:10,Email,Mobile,2,230,0
14,,2022-11-26 18:07:41,Organic Search,Tablet,5,257,0
15,,2022-07-27 04:52:24,Direct,Mobile,1,539,0
16,19945,2022-11-23 20:36:52,Paid Search,Mobile,5,166,0
17,,2021-11-15 04:28:08,Social Media,Mobile,4,44,0
18,,2021-09-03 21:10:21,Social Media,Tablet,5,22,0
19,,2021-11-25 22:13:33,Referral,Mobile,3,165,0
20,,2023-10-18 23:27:10,Organic Search,Desktop,6,136,0
21,17204,2023-09-11 21:56:41,Referral,Desktop,6,26,0
22,8240,2023-04-15 08:17:50,Social Media,Desktop,6,213,0
23,,2023-02-21 09:16:07,Organic Search,Desktop,6,46,0
24,,2022-09-24 15:16:41,Social Media,Mobile,3,213,0
25,,2023-11-14 01:00:01,Paid Search,Desktop,6,6,0
26,,2023-08-17 05:48:17,Organic Search,Mobile,2,29,0
27,,2021-12-03 02:17:12,Paid Search,Desktop,4,35,0
28,,2023-06-25 21:36:36,Organic Search,Desktop,3,292,0
29,,2023-11-24 07:44:15,Direct,Desktop,6,599,0
30,,2021-07-04 04:47:16,Direct,Mobile,4,109,0
31,,2021-05-27 13:02:42,Paid Search,Mobile,5,8,0
32,,2022-08-25 10:45:47,Referral,Mobile,5,232,0
33,,2021-10-24 11:30:36,Email,Mobile,2,209,0
34,,2021-07-15 13:30:22,Paid Search,Mobile,7,214,0
35,,2022-04-07 09:40:06,Referral,Tablet,7,16,0
36,6026,2021-05-23 21:50:58,Email,Mobile,7,390,0
37,8223,2022-11-09 15:53:06,Direct,Desktop,5,11,0
38,,2021-04-02 06:42:50,Social Media,Mobile,4,345,0
39,8563,2023-09-19 04:36:36,Organic Search,Desktop,2,107,0
40,,2023-12-13 23:35:56,Referral,Mobile,2,524,0
41,,2023-09-18 12:49:37,Direct,Desktop,7,955,0
42,15674,2021-03-04 13:13:20,Referral,Desktop,2,497,0
43,,2023-10-10 19:10:47,Paid Search,Desktop,4,530,0
44,,2022-03-30 17:51:53,Email,Desktop,4,536,0
45,,2022-03-02 01:32:53,Referral,Mobile,7,337,0
46,13044,2021-03-24 22:54:37,Referral,Desktop,8,307,0
47,,2023-07-19 20:07:06,Referral,Desktop,4,177,1
48,6886,2022-10-23 01:29:43,Paid Search,Mobile,5,47,0
49,5861,2021-05-27 04:07:01,Referral,Mobile,5,21,0
50,,2022-04-11 16:47:40,Organic Search,Desktop,9,27,0
51,3955,2021-09-22 08:53:48,Social Media,Mobile,5,14,0
52,,2022-11-26 09:08:13,Organic Search,Desktop,7,236,0
53,,2023-11-16 03:27:48,Organic Search,Desktop,3,269,0
54,,2022-12-23 12:18:58,Direct,Mobile,6,120,0
55,360,2021-08-18 11:12:59,Referral,Desktop,6,395,0
56,4983,2021-08-20 04:35:23,Email,Desktop,4,58,1
57,,2023-09-09 21:45:00,Referral,Desktop,4,620,0
