campaign_id,date,impressions,clicks,conversions,spend,revenue_generated
1,2022-06-18,713286,8572,219,4044.79,23379.0
1,2022-06-19,558096,18272,1677,3375.27,141992.8
1,2022-06-20,586639,10125,696,3534.5,66149.54
1,2022-06-21,381556,4819,471,4530.06,60730.34
1,2022-06-22,313511,8123,780,4663.17,63791.11
1,2022-06-23,539255,19400,1857,3482.62,119166.01
1,2022-06-24,572538,9669,914,3529.64,77950.22
1,2022-06-25,589269,19892,1768,4109.07,183933.43
1,2022-06-26,553392,7209,604,3428.39,40696.06
1,2022-06-27,635805,21674,1071,4695.92,56225.93
1,2022-06-28,777748,15117,608,3913.53,38761.54
1,2022-06-29,550489,9968,875,3758.79,51207.81
2,2021-08-16,107632,2539,167,1105.68,11790.39
2,2021-08-17,57086,2154,198,793.62,10911.86
2,2021-08-18,47221,838,71,795.44,6319.28
2,2021-08-19,170576,5748,572,1094.47,80125.7
2,2021-08-20,49588,1368,94,767.72,7050.0
2,2021-08-21,110233,1751,54,912.77,6834.37
2,2021-08-22,126632,5073,125,835.22,7261.58
2,2021-08-23,148938,4704,313,955.03,34280.44
2,2021-08-24,108085,2947,275,1082.52,21488.76
2,2021-08-25,105138,1290,93,889.24,11875.78
2,2021-08-26,83778,2550,182,822.43,12603.38
2,2021-08-27,139955,5187,280,999.23,24424.17
2,2021-08-28,79045,2003,150,753.1,14714.16
2,2021-08-29,142335,4134,366,1035.0,37589.94
2,2021-08-30,75537,1174,104,758.66,8382.28
2,2021-08-31,168404,4245,237,892.6,17881.34
2,2021-09-01,166735,7588,266,849.69,28592.6
2,2021-09-02,133239,3217,304,1081.63,35011.55
2,2021-09-03,51110,2049,48,908.53,4341.84
2,2021-09-04,126254,1608,40,920.36,2672.6
2,2021-09-05,93493,4425,339,748.63,35731.45
2,2021-09-06,71539,2716,252,1102.4,27392.11
2,2021-09-07,46677,571,34,767.82,1751.97
2,2021-09-08,113964,5570,142,926.4,15381.25
3,2021-01-13,311001,14049,407,1847.91,60330.21
3,2021-01-14,353431,9241,311,1889.95,25595.14
3,2021-01-15,139229,5913,318,1613.63,37110.33
3,2021-01-16,373639,8290,634,1891.04,45978.39
3,2021-01-17,311309,12287,1100,1783.73,146547.68
3,2021-01-18,242001,3320,304,1775.41,21216.49
3,2021-01-19,351274,7753,482,2022.01,46044.57
3,2021-01-20,235647,6553,259,1770.64,38366.89
3,2021-01-21,209220,7505,506,1760.99,28214.46
3,2021-01-22,288085,10439,397,1930.14,40579.73
3,2021-01-23,186785,2120,124,1866.35,16396.54
3,2021-01-24,248232,2982,267,2093.53,29058.66
3,2021-01-25,353256,4990,359,2041.12,32333.89
3,2021-01-26,350588,4631,324,1803.99,47264.82
3,2021-01-27,146432,4807,385,1897.27,40377.53
3,2021-01-28,346450,11408,512,1882.96,38405.27
3,2021-01-29,220501,9453,792,1435.64,71905.55
3,2021-01-30,246902,8210,384,1470.3,54972.05
3,2021-01-31,187700,5246,323,1812.3,23053.5
3,2021-02-01,164059,8163,314,1598.91,17929.32
3,2021-02-02,289111,9000,502,2083.54,36926.82
3,2021-02-03,365848,18177,1014,1889.03,107759.88
3,2021-02-04,193509,2515,184,1967.37,25611.86
3,2021-02-05,157363,2933,146,1431.01,8798.81
3,2021-02-06,285712,9977,581,1781.98,83132.19
3,2021-02-07,86188,1609,35,1578.12,5184.72
4,2022-03-09,27950,1280,81,144.1,7221.67
