order_item_id,order_id,product_id,quantity,unit_price,discount,item_revenue,item_cost,item_profit
1,1,259,1,247.46,0.0,247.46,52.63,194.83
2,1,698,1,1649.18,0.0,1649.18,1253.14,396.04
3,1,515,1,83.56,0.0,83.56,42.06,41.5
4,1,805,1,267.38,0.0,267.38,86.8,180.58
5,1,309,3,144.32,0.0,432.96,175.98,256.98
6,2,800,1,187.96,0.0,187.96,86.43,101.53
7,2,195,1,294.81,0.0,294.81,189.23,105.58
8,2,883,1,633.05,0.0,633.05,419.85,213.2
9,2,485,2,571.15,0.0,1142.3,614.52,527.78
10,2,144,1,68.03,0.0,68.03,36.23,31.8
11,3,432,1,251.5,0.0,251.5,148.56,102.94
12,4,3,2,308.49,0.0,616.98,237.66,379.32
13,5,425,1,450.17,0.0,450.17,268.95,181.22
14,5,859,1,1769.95,0.0,1769.95,1358.11,411.84
15,6,48,1,1307.39,261.48,1045.91,1166.26,-120.35
16,7,239,1,425.95,0.0,425.95,336.89,89.06
17,8,478,1,190.9,0.0,190.9,58.51,132.39
18,9,588,1,36.86,0.0,36.86,24.45,12.41
19,9,633,1,232.44,0.0,232.44,57.59,174.85
20,10,580,1,150.88,0.0,150.88,88.31,62.57
21,10,675,1,91.73,0.0,91.73,32.91,58.82
22,11,118,2,879.18,263.75,1494.61,940.46,554.15
23,12,248,1,421.48,0.0,421.48,229.36,192.12
24,13,697,1,349.5,0.0,349.5,143.61,205.89
25,14,859,1,1769.95,0.0,1769.95,1358.11,411.84
26,15,793,4,258.33,103.33,929.99,571.84,358.15
27,16,944,1,1248.68,0.0,1248.68,766.54,482.14
28,17,58,4,498.89,399.11,1596.45,1034.44,562.01
29,18,713,1,147.28,0.0,147.28,46.63,100.65
30,19,987,1,103.53,0.0,103.53,47.67,55.86
31,20,753,1,14.67,0.0,14.67,6.23,8.44
32,20,13,3,1294.19,0.0,3882.57,2063.31,1819.26
33,21,469,4,535.05,214.02,1926.18,1572.68,353.5
34,22,734,1,144.91,0.0,144.91,112.07,32.84
35,23,563,1,579.67,0.0,579.67,461.91,117.76
36,24,423,2,532.21,0.0,1064.42,701.72,362.7
37,25,352,2,856.51,0.0,1713.02,1024.48,688.54
38,25,755,5,170.39,0.0,851.95,375.75,476.2
39,26,339,1,517.36,0.0,517.36,165.49,351.87
40,27,218,1,188.34,0.0,188.34,72.65,115.69
41,28,659,1,383.16,0.0,383.16,280.15,103.01
42,29,737,4,349.37,0.0,1397.48,371.28,1026.2
43,29,147,5,363.97,0.0,1819.85,1276.15,543.7
44,30,592,1,366.47,0.0,366.47,131.69,234.78
45,30,257,1,127.43,0.0,127.43,41.53,85.9
46,31,232,4,2214.63,0.0,8858.52,6969.32,1889.2
47,32,97,1,243.53,36.53,207.0,172.13,34.87
48,33,22,1,40.69,0.0,40.69,15.6,25.09
49,34,619,1,70.48,10.57,59.91,59.75,0.16
50,34,9,2,44.17,0.0,88.34,46.96,41.38
51,34,669,1,1220.75,0.0,1220.75,644.19,576.56
52,34,271,1,1836.04,0.0,1836.04,1330.62,505.42
53,34,917,1,456.29,0.0,456.29,194.23,262.06
54,35,564,1,2327.59,0.0,2327.59,1734.74,592.85
55,35,575,1,701.43,0.0,701.43,458.23,243.2
56,35,695,1,1729.78,0.0,1729.78,1330.7,399.08
57,35,355,2,709.8,0.0,1419.6,1091.5,328.1
58,35,228,1,38.21,0.0,38.21,15.91,22.3
59,36,753,1,14.67,0.0,14.67,6.23,8.44
60,36,878,3,1122.75,0.0,3368.25,2029.38,1338.87
61,37,883,1,633.05,0.0,633.05,419.85,213.2
62,37,449,1,149.13,0.0,149.13,41.47,107.66
63,38,121,2,783.22,313.29,1253.15,985.34,267.81
64,38,259,1,247.46,0.0,247.46,52.63,194.83
65,39,899,2,137.91,0.0,275.82,180.0,95.82
66,39,172,2,569.94,0.0,1139.88,352.24,787.64
67,40,464,2,440.65,0.0,881.3,624.34,256.96
68,41,955,1,802.3,0.0,802.3,422.36,379.94
69,41,848,2,79.14,0.0,158.28,124.34,33.94
70,41,330,1,256.98,0.0,256.98,85.04,171.94
71,41,526,3,138.7,0.0,416.1,133.23,282.87
72,42,14,1,341.77,68.35,273.42,163.93,109.49
