product_id,product_name,category,subcategory,brand,unit_cost,selling_price,stock_quantity
1,Smartphones Product 1,Electronics,Smartphones,Brand 18,1488.27,1748.8,804
2,Smartphones Product 2,Electronics,Smartphones,Brand 12,1189.18,1330.71,273
3,Shirts Product 3,Apparel,Shirts,Brand 90,118.83,308.49,608
4,Fitness Product 4,Sports,Fitness,Brand 1,230.11,309.14,827
5,Outerwear Product 5,Apparel,Outerwear,Brand 98,77.95,140.87,394
6,Smartphones Product 6,Electronics,Smartphones,Brand 45,772.26,932.45,668
7,Furniture Product 7,Home & Garden,Furniture,Brand 49,732.43,1235.64,130
8,Makeup Product 8,Beauty,Makeup,Brand 47,83.79,266.47,641
9,Shirts Product 9,Apparel,Shirts,Brand 38,23.48,44.17,131
10,Shirts Product 10,Apparel,Shirts,Brand 47,85.32,183.89,216
11,Kitchen Product 11,Home & Garden,Kitchen,Brand 88,217.41,336.23,713
12,Laptops Product 12,Electronics,Laptops,Brand 60,1077.6,1266.22,438
13,Decor Product 13,Home & Garden,Decor,Brand 100,687.77,1294.19,107
14,Shirts Product 14,Apparel,Shirts,Brand 9,163.93,341.77,266
15,Haircare Product 15,Beauty,Haircare,Brand 51,34.89,115.01,955
16,Fitness Product 16,Sports,Fitness,Brand 72,139.79,186.22,601
17,Tools Product 17,Home & Garden,Tools,Brand 29,898.84,1449.46,191
18,Makeup Product 18,Beauty,Makeup,Brand 15,13.64,28.07,206
19,Outerwear Product 19,Apparel,Outerwear,Brand 77,125.34,258.66,529
20,Makeup Product 20,Beauty,Makeup,Brand 2,97.25,402.25,746
21,Audio Product 21,Electronics,Audio,Brand 38,1541.83,1853.24,495
22,Outerwear Product 22,Apparel,Outerwear,Brand 93,15.6,40.69,319
23,Skincare Product 23,Beauty,Skincare,Brand 81,53.23,113.72,355
24,Haircare Product 24,Beauty,Haircare,Brand 21,23.9,61.63,602
25,Skincare Product 25,Beauty,Skincare,Brand 15,61.9,175.15,421
26,Decor Product 26,Home & Garden,Decor,Brand 11,67.35,128.43,137
27,Fitness Product 27,Sports,Fitness,Brand 17,489.21,705.46,181
28,Team Sports Product 28,Sports,Team Sports,Brand 78,90.91,130.91,483
29,Pants Product 29,Apparel,Pants,Brand 86,146.9,305.85,715
30,Tools Product 30,Home & Garden,Tools,Brand 32,900.62,1477.15,280
31,Audio Product 31,Electronics,Audio,Brand 76,61.65,78.12,275
32,Smartphones Product 32,Electronics,Smartphones,Brand 9,1421.53,1600.42,977
33,Audio Product 33,Electronics,Audio,Brand 86,160.3,188.06,547
34,Pants Product 34,Apparel,Pants,Brand 74,148.82,443.86,534
35,Outerwear Product 35,Apparel,Outerwear,Brand 13,164.39,302.81,724
36,Outdoor Product 36,Sports,Outdoor,Brand 94,217.55,307.88,105
37,Smartphones Product 37,Electronics,Smartphones,Brand 14,817.19,982.03,304
38,Pants Product 38,Apparel,Pants,Brand 24,114.21,204.7,335
39,Fitness Product 39,Sports,Fitness,Brand 71,438.5,558.65,150
40,Smartphones Product 40,Electronics,Smartphones,Brand 31,1938.61,2712.38,220
41,Outdoor Product 41,Sports,Outdoor,Brand 8,245.87,392.09,218
42,Fitness Product 42,Sports,Fitness,Brand 59,492.8,659.74,342
43,Team Sports Product 43,Sports,Team Sports,Brand 72,479.09,797.27,727
44,Fitness Product 44,Sports,Fitness,Brand 8,103.05,136.23,643
45,Skincare Product 45,Beauty,Skincare,Brand 75,76.06,157.52,538
46,Haircare Product 46,Beauty,Haircare,Brand 11,19.96,94.25,921
47,Shirts Product 47,Apparel,Shirts,Brand 31,125.08,314.72,463
48,Laptops Product 48,Electronics,Laptops,Brand 11,1166.26,1307.39,479
49,Haircare Product 49,Beauty,Haircare,Brand 27,54.66,248.92,735
50,Decor Product 50,Home & Garden,Decor,Brand 83,272.96,405.09,357
51,Outdoor Product 51,Sports,Outdoor,Brand 2,465.22,759.11,519
52,Haircare Product 52,Beauty,Haircare,Brand 28,99.63,208.42,568
53,Decor Product 53,Home & Garden,Decor,Brand 32,933.93,1782.9,428
54,Decor Product 54,Home & Garden,Decor,Brand 39,443.8,750.48,676
55,Skincare Product 55,Beauty,Skincare,Brand 85,68.45,205.17,156
56,Shoes Product 56,Apparel,Shoes,Brand 71,36.35,64.01,209
57,Kitchen Product 57,Home & Garden,Kitchen,Brand 27,608.78,1093.99,753
58,Tools Product 58,Home & Garden,Tools,Brand 7,258.61,498.89,144
59,Outdoor Product 59,Sports,Outdoor,Brand 17,31.6,43.09,702
60,Decor Product 60,Home & Garden,Decor,Brand 55,743.82,1261.43,624
61,Smartphones Product 61,Electronics,Smartphones,Brand 20,168.98,233.6,608
62,Audio Product 62,Electronics,Audio,Brand 17,1173.37,1348.11,92
63,Kitchen Product 63,Home & Garden,Kitchen,Brand 6,899.99,1664.26,970
64,Decor Product 64,Home & Garden,Decor,Brand 46,685.25,1209.38,848
65,Makeup Product 65,Beauty,Makeup,Brand 31,97.51,354.38,935
66,Pants Product 66,Apparel,Pants,Brand 95,178.06,300.49,996
67,Tools Product 67,Home & Garden,Tools,Brand 32,804.21,1525.47,323
68,Shirts Product 68,Apparel,Shirts,Brand 61,85.77,145.77,277
69,Outerwear Product 69,Apparel,Outerwear,Brand 30,79.69,225.22,278
70,Laptops Product 70,Electronics,Laptops,Brand 9,808.96,958.17,841
71,Kitchen Product 71,Home & Garden,Kitchen,Brand 69,645.07,1040.33,389
72,Smartphones Product 72,Electronics,Smartphones,Brand 75,1756.54,2071.99,321
73,Smartphones Product 73,Electronics,Smartphones,Brand 41,1201.21,1445.74,496
74,Haircare Product 74,Beauty,Haircare,Brand 25,15.99,69.48,310
75,Accessories Product 75,Electronics,Accessories,Brand 69,23.35,32.66,753
76,Shoes Product 76,Apparel,Shoes,Brand 43,94.79,300.6,688
77,Furniture Product 77,Home & Garden,Furniture,Brand 40,722.56,1129.11,732
78,Outdoor Product 78,Sports,Outdoor,Brand 17,207.18,279.64,246
79,Team Sports Product 79,Sports,Team Sports,Brand 23,470.78,708.43,680
80,Makeup Product 80,Beauty,Makeup,Brand 39,43.58,174.4,343
81,Outerwear Product 81,Apparel,Outerwear,Brand 42,160.37,383.66,526
82,Outdoor Product 82,Sports,Outdoor,Brand 95,341.06,488.79,223
83,Audio Product 83,Electronics,Audio,Brand 43,1040.59,1345.45,145
84,Shoes Product 84,Apparel,Shoes,Brand 4,56.56,104.69,97
85,Outerwear Product 85,Apparel,Outerwear,Brand 59,128.09,346.7,474
86,Skincare Product 86,Beauty,Skincare,Brand 52,73.24,190.33,299
87,Shirts Product 87,Apparel,Shirts,Brand 14,180.14,526.93,847
